    34 | train=0.052947 | val=nan | lr=0.01 | t_train=12.88 | t_val=12.15 | mem=383.9 | psnr_b100=27.116, psnr_set14=27.517, psnr_set5=31.224, psnr_urban100=25.039, ssim_b100=0.717, ssim_set14=0.844, ssim_set5=0.890, ssim_urban100=0.953 |
    35 | train=0.052956 | val=nan | lr=0.01 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.001, psnr_set14=27.456, psnr_set5=30.988, psnr_urban100=24.874, ssim_b100=0.704, ssim_set14=0.837, ssim_set5=0.878, ssim_urban100=0.951 |
    36 | train=0.071021 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=25.460, psnr_set14=25.504, psnr_set5=28.063, psnr_urban100=23.095, ssim_b100=0.583, ssim_set14=0.767, ssim_set5=0.777, ssim_urban100=0.924 |
    37 | train=0.047811 | val=nan | lr=0.01 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=25.814, psnr_set14=25.613, psnr_set5=28.166, psnr_urban100=23.404, ssim_b100=0.619, ssim_set14=0.763, ssim_set5=0.776, ssim_urban100=0.930 |
    38 | train=0.036768 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=26.311, psnr_set14=26.381, psnr_set5=29.504, psnr_urban100=23.817, ssim_b100=0.672, ssim_set14=0.801, ssim_set5=0.832, ssim_urban100=0.935 |
    39 | train=0.021365 | val=nan | lr=0.01 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=26.455, psnr_set14=26.735, psnr_set5=30.018, psnr_urban100=24.025, ssim_b100=0.683, ssim_set14=0.821, ssim_set5=0.859, ssim_urban100=0.939 |
    40 | train=0.018534 | val=nan | lr=0.01 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=26.751, psnr_set14=27.045, psnr_set5=30.600, psnr_urban100=24.285, ssim_b100=0.700, ssim_set14=0.833, ssim_set5=0.876, ssim_urban100=0.942 |
    41 | train=0.019343 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=26.830, psnr_set14=27.155, psnr_set5=30.691, psnr_urban100=24.425, ssim_b100=0.708, ssim_set14=0.838, ssim_set5=0.881, ssim_urban100=0.944 |
    42 | train=0.013839 | val=nan | lr=0.01 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=26.947, psnr_set14=27.313, psnr_set5=30.935, psnr_urban100=24.519, ssim_b100=0.715, ssim_set14=0.843, ssim_set5=0.890, ssim_urban100=0.946 |
    43 | train=0.018873 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=26.941, psnr_set14=27.266, psnr_set5=30.871, psnr_urban100=24.540, ssim_b100=0.711, ssim_set14=0.840, ssim_set5=0.883, ssim_urban100=0.946 |
    44 | train=0.016162 | val=nan | lr=0.01 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=26.963, psnr_set14=27.335, psnr_set5=31.001, psnr_urban100=24.594, ssim_b100=0.716, ssim_set14=0.843, ssim_set5=0.890, ssim_urban100=0.946 |
    45 | train=0.014311 | val=nan | lr=0.01 | t_train=12.70 | t_val=12.06 | mem=383.9 | psnr_b100=26.849, psnr_set14=27.185, psnr_set5=30.761, psnr_urban100=24.456, ssim_b100=0.715, ssim_set14=0.842, ssim_set5=0.890, ssim_urban100=0.945 |
    46 | train=0.015804 | val=nan | lr=0.01 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=26.956, psnr_set14=27.289, psnr_set5=30.908, psnr_urban100=24.516, ssim_b100=0.716, ssim_set14=0.843, ssim_set5=0.889, ssim_urban100=0.945 |
    47 | train=0.013819 | val=nan | lr=0.01 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=26.877, psnr_set14=27.285, psnr_set5=30.979, psnr_urban100=24.527, ssim_b100=0.711, ssim_set14=0.841, ssim_set5=0.889, ssim_urban100=0.945 |
    48 | train=0.012550 | val=nan | lr=0.01 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=26.955, psnr_set14=27.365, psnr_set5=31.006, psnr_urban100=24.597, ssim_b100=0.712, ssim_set14=0.840, ssim_set5=0.886, ssim_urban100=0.946 |
    49 | train=0.012671 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=26.957, psnr_set14=27.352, psnr_set5=31.090, psnr_urban100=24.651, ssim_b100=0.715, ssim_set14=0.843, ssim_set5=0.891, ssim_urban100=0.946 |
    50 | train=0.015670 | val=nan | lr=0.01 | t_train=12.86 | t_val=12.21 | mem=383.9 | psnr_b100=26.893, psnr_set14=27.252, psnr_set5=30.910, psnr_urban100=24.514, ssim_b100=0.715, ssim_set14=0.843, ssim_set5=0.890, ssim_urban100=0.946 |
    51 | train=0.013520 | val=nan | lr=0.009991 | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=26.873, psnr_set14=27.325, psnr_set5=30.972, psnr_urban100=24.555, ssim_b100=0.712, ssim_set14=0.841, ssim_set5=0.890, ssim_urban100=0.945 |
