# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    25 | train=1.868508 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01972 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=9.329, psnr_set14=8.990, psnr_set5=8.521, psnr_urban100=8.746, ssim_b100=0.014, ssim_set14=0.032, ssim_set5=0.024, ssim_urban100=0.146 |
    26 | train=2.188514 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.84 | mem=383.9 | psnr_b100=13.786, psnr_set14=13.269, psnr_set5=12.756, psnr_urban100=13.001, ssim_b100=0.075, ssim_set14=0.229, ssim_set5=0.148, ssim_urban100=0.582 |
    27 | train=3.734383 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.85 | mem=383.9 | psnr_b100=14.023, psnr_set14=13.616, psnr_set5=13.404, psnr_urban100=13.179, ssim_b100=0.088, ssim_set14=0.331, ssim_set5=0.265, ssim_urban100=0.620 |
    28 | train=4.420914 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=15.311, psnr_set14=15.356, psnr_set5=15.357, psnr_urban100=15.046, ssim_b100=0.157, ssim_set14=0.398, ssim_set5=0.305, ssim_urban100=0.695 |
    29 | train=4.331109 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=18.603, psnr_set14=18.284, psnr_set5=18.009, psnr_urban100=17.414, ssim_b100=0.247, ssim_set14=0.535, ssim_set5=0.396, ssim_urban100=0.797 |
    30 | train=3.669798 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.59 | t_val=6.82 | mem=383.9 | psnr_b100=17.389, psnr_set14=16.809, psnr_set5=16.325, psnr_urban100=15.967, ssim_b100=0.188, ssim_set14=0.453, ssim_set5=0.321, ssim_urban100=0.718 |
    31 | train=2.625474 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.86 | mem=383.9 | psnr_b100=15.331, psnr_set14=15.343, psnr_set5=14.960, psnr_urban100=14.640, ssim_b100=0.130, ssim_set14=0.331, ssim_set5=0.240, ssim_urban100=0.660 |
    32 | train=1.602062 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.84 | mem=383.9 | psnr_b100=17.799, psnr_set14=17.644, psnr_set5=16.760, psnr_urban100=16.565, ssim_b100=0.234, ssim_set14=0.443, ssim_set5=0.331, ssim_urban100=0.728 |
    33 | train=1.051468 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.84 | mem=383.9 | psnr_b100=15.421, psnr_set14=15.452, psnr_set5=15.210, psnr_urban100=14.896, ssim_b100=0.126, ssim_set14=0.402, ssim_set5=0.307, ssim_urban100=0.708 |
    34 | train=0.742866 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.85 | mem=383.9 | psnr_b100=16.008, psnr_set14=15.737, psnr_set5=15.440, psnr_urban100=15.037, ssim_b100=0.119, ssim_set14=0.388, ssim_set5=0.243, ssim_urban100=0.699 |
    35 | train=0.470609 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=16.422, psnr_set14=16.180, psnr_set5=15.791, psnr_urban100=15.370, ssim_b100=0.143, ssim_set14=0.439, ssim_set5=0.308, ssim_urban100=0.737 |
    36 | train=0.379744 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.84 | mem=383.9 | psnr_b100=16.982, psnr_set14=16.589, psnr_set5=17.093, psnr_urban100=16.019, ssim_b100=0.147, ssim_set14=0.336, ssim_set5=0.270, ssim_urban100=0.735 |
    37 | train=0.236365 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.02 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.85 | mem=383.9 | psnr_b100=17.265, psnr_set14=17.105, psnr_set5=16.163, psnr_urban100=16.082, ssim_b100=0.179, ssim_set14=0.414, ssim_set5=0.287, ssim_urban100=0.711 |
