# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    14 | train=0.002072 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001136 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.56 | t_val=12.80 | mem=383.9 | psnr_b100=27.585, psnr_set14=28.271, psnr_set5=32.299, psnr_urban100=26.055, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.958, a_actual_set14=9.098, a_actual_set5=8.939, a_actual_urban100=9.309, a_max_b100=9.706, a_max_set14=9.796, a_max_set5=9.824, a_max_urban100=9.894, a_mean_b100=10.018, a_mean_set14=10.018, a_mean_set5=10.018, a_mean_urban100=10.018, w_actual_b100=10.013, w_actual_set14=10.013, w_actual_set5=10.013, w_actual_urban100=10.013, w_max_b100=10.025, w_max_set14=10.025, w_max_set5=10.025, w_max_urban100=10.025, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    15 | train=0.001431 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001212 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.52 | t_val=12.76 | mem=383.9 | psnr_b100=27.601, psnr_set14=28.287, psnr_set5=32.343, psnr_urban100=26.108, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.939, a_actual_set14=9.093, a_actual_set5=8.933, a_actual_urban100=9.297, a_max_b100=9.703, a_max_set14=9.806, a_max_set5=9.826, a_max_urban100=9.892, a_mean_b100=10.020, a_mean_set14=10.020, a_mean_set5=10.020, a_mean_urban100=10.020, w_actual_b100=10.014, w_actual_set14=10.014, w_actual_set5=10.014, w_actual_urban100=10.014, w_max_b100=10.029, w_max_set14=10.029, w_max_set5=10.029, w_max_urban100=10.029, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    16 | train=0.001578 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001288 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.50 | t_val=12.73 | mem=383.9 | psnr_b100=27.584, psnr_set14=28.267, psnr_set5=32.282, psnr_urban100=26.059, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.989, a_actual_set14=9.118, a_actual_set5=8.975, a_actual_urban100=9.342, a_max_b100=9.732, a_max_set14=9.813, a_max_set5=9.833, a_max_urban100=9.916, a_mean_b100=10.022, a_mean_set14=10.022, a_mean_set5=10.022, a_mean_urban100=10.022, w_actual_b100=10.015, w_actual_set14=10.015, w_actual_set5=10.015, w_actual_urban100=10.015, w_max_b100=10.029, w_max_set14=10.029, w_max_set5=10.029, w_max_urban100=10.029, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
    17 | train=0.002082 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001364 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.53 | t_val=12.76 | mem=383.9 | psnr_b100=27.580, psnr_set14=28.263, psnr_set5=32.266, psnr_urban100=26.053, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |  | a_actual_b100=9.002, a_actual_set14=9.136, a_actual_set5=8.990, a_actual_urban100=9.355, a_max_b100=9.735, a_max_set14=9.832, a_max_set5=9.853, a_max_urban100=9.928, a_mean_b100=10.024, a_mean_set14=10.024, a_mean_set5=10.024, a_mean_urban100=10.024, w_actual_b100=10.015, w_actual_set14=10.015, w_actual_set5=10.015, w_actual_urban100=10.015, w_max_b100=10.035, w_max_set14=10.035, w_max_set5=10.035, w_max_urban100=10.035, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    18 | train=0.002483 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00144 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.54 | t_val=12.77 | mem=383.9 | psnr_b100=27.578, psnr_set14=28.246, psnr_set5=32.312, psnr_urban100=26.045, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.955, a_actual_set14=9.095, a_actual_set5=8.948, a_actual_urban100=9.309, a_max_b100=9.721, a_max_set14=9.827, a_max_set5=9.850, a_max_urban100=9.914, a_mean_b100=10.026, a_mean_set14=10.026, a_mean_set5=10.026, a_mean_urban100=10.026, w_actual_b100=10.017, w_actual_set14=10.017, w_actual_set5=10.017, w_actual_urban100=10.017, w_max_b100=10.040, w_max_set14=10.040, w_max_set5=10.040, w_max_urban100=10.040, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    19 | train=0.002310 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001516 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.53 | t_val=12.77 | mem=383.9 | psnr_b100=27.578, psnr_set14=28.284, psnr_set5=32.341, psnr_urban100=26.046, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.950, a_actual_set14=9.095, a_actual_set5=8.953, a_actual_urban100=9.317, a_max_b100=9.727, a_max_set14=9.825, a_max_set5=9.847, a_max_urban100=9.914, a_mean_b100=10.028, a_mean_set14=10.028, a_mean_set5=10.028, a_mean_urban100=10.028, w_actual_b100=10.020, w_actual_set14=10.020, w_actual_set5=10.020, w_actual_urban100=10.020, w_max_b100=10.051, w_max_set14=10.051, w_max_set5=10.051, w_max_urban100=10.051, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    20 | train=0.001698 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001592 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.64 | t_val=12.85 | mem=383.9 | psnr_b100=27.565, psnr_set14=28.254, psnr_set5=32.301, psnr_urban100=26.059, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.983, a_actual_set14=9.123, a_actual_set5=8.972, a_actual_urban100=9.342, a_max_b100=9.735, a_max_set14=9.831, a_max_set5=9.847, a_max_urban100=9.925, a_mean_b100=10.031, a_mean_set14=10.031, a_mean_set5=10.031, a_mean_urban100=10.031, w_actual_b100=10.021, w_actual_set14=10.021, w_actual_set5=10.021, w_actual_urban100=10.021, w_max_b100=10.044, w_max_set14=10.044, w_max_set5=10.044, w_max_urban100=10.044, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    21 | train=0.003020 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001668 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.54 | t_val=12.78 | mem=383.9 | psnr_b100=27.585, psnr_set14=28.257, psnr_set5=32.309, psnr_urban100=26.076, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.975, a_actual_set14=9.114, a_actual_set5=8.961, a_actual_urban100=9.331, a_max_b100=9.741, a_max_set14=9.831, a_max_set5=9.858, a_max_urban100=9.925, a_mean_b100=10.034, a_mean_set14=10.034, a_mean_set5=10.034, a_mean_urban100=10.034, w_actual_b100=10.021, w_actual_set14=10.021, w_actual_set5=10.021, w_actual_urban100=10.021, w_max_b100=10.053, w_max_set14=10.053, w_max_set5=10.053, w_max_urban100=10.053, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    22 | train=0.004423 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.001744 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.58 | t_val=12.81 | mem=383.9 | psnr_b100=27.546, psnr_set14=28.241, psnr_set5=32.224, psnr_urban100=25.943, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |  | a_actual_b100=8.975, a_actual_set14=9.117, a_actual_set5=8.982, a_actual_urban100=9.338, a_max_b100=9.739, a_max_set14=9.843, a_max_set5=9.867, a_max_urban100=9.936, a_mean_b100=10.036, a_mean_set14=10.036, a_mean_set5=10.036, a_mean_urban100=10.036, w_actual_b100=10.024, w_actual_set14=10.024, w_actual_set5=10.024, w_actual_urban100=10.024, w_max_b100=10.070, w_max_set14=10.070, w_max_set5=10.070, w_max_urban100=10.070, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
    23 | train=0.002747 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00182 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=13.68 | t_val=12.76 | mem=383.9 | psnr_b100=27.548, psnr_set14=28.223, psnr_set5=32.241, psnr_urban100=25.993, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |  | a_actual_b100=8.956, a_actual_set14=9.106, a_actual_set5=8.970, a_actual_urban100=9.342, a_max_b100=9.737, a_max_set14=9.847, a_max_set5=9.878, a_max_urban100=9.937, a_mean_b100=10.038, a_mean_set14=10.038, a_mean_set5=10.038, a_mean_urban100=10.038, w_actual_b100=10.025, w_actual_set14=10.025, w_actual_set5=10.025, w_actual_urban100=10.025, w_max_b100=10.081, w_max_set14=10.081, w_max_set5=10.081, w_max_urban100=10.081, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
