     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.76 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     5 | train=0.000851 | val=nan | lr=0.000452 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.296, psnr_set5=32.331, psnr_urban100=26.111, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     6 | train=0.001052 | val=nan | lr=0.000528 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.302, psnr_set5=32.346, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     7 | train=0.001180 | val=nan | lr=0.000604 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.615, psnr_set14=28.296, psnr_set5=32.346, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     8 | train=0.000896 | val=nan | lr=0.00068 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.298, psnr_set5=32.342, psnr_urban100=26.120, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     9 | train=0.001370 | val=nan | lr=0.000756 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.309, psnr_set5=32.350, psnr_urban100=26.134, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
    10 | train=0.001269 | val=nan | lr=0.000832 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.607, psnr_set14=28.295, psnr_set5=32.340, psnr_urban100=26.118, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
    11 | train=0.001792 | val=nan | lr=0.000908 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.295, psnr_set5=32.356, psnr_urban100=26.129, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
    12 | train=0.001304 | val=nan | lr=0.000984 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.289, psnr_set5=32.326, psnr_urban100=26.111, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    13 | train=0.001736 | val=nan | lr=0.00106 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.606, psnr_set14=28.282, psnr_set5=32.316, psnr_urban100=26.111, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    14 | train=0.001862 | val=nan | lr=0.001136 | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.297, psnr_set5=32.331, psnr_urban100=26.100, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    15 | train=0.001708 | val=nan | lr=0.001212 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.611, psnr_set14=28.291, psnr_set5=32.331, psnr_urban100=26.109, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    16 | train=0.001708 | val=nan | lr=0.001288 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.601, psnr_set14=28.273, psnr_set5=32.322, psnr_urban100=26.083, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    17 | train=0.002444 | val=nan | lr=0.001364 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.597, psnr_set14=28.272, psnr_set5=32.312, psnr_urban100=26.094, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    18 | train=0.002084 | val=nan | lr=0.00144 | t_train=12.85 | t_val=12.19 | mem=383.9 | psnr_b100=27.602, psnr_set14=28.273, psnr_set5=32.339, psnr_urban100=26.083, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    19 | train=0.002341 | val=nan | lr=0.001516 | t_train=12.85 | t_val=12.17 | mem=383.9 | psnr_b100=27.565, psnr_set14=28.236, psnr_set5=32.302, psnr_urban100=26.023, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    20 | train=0.002579 | val=nan | lr=0.001592 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.569, psnr_set14=28.263, psnr_set5=32.294, psnr_urban100=26.018, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    21 | train=0.002854 | val=nan | lr=0.001668 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.550, psnr_set14=28.226, psnr_set5=32.268, psnr_urban100=25.995, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.962 |
    22 | train=0.003214 | val=nan | lr=0.001744 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.545, psnr_set14=28.242, psnr_set5=32.284, psnr_urban100=25.978, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
    23 | train=0.002894 | val=nan | lr=0.00182 | t_train=12.88 | t_val=12.12 | mem=383.9 | psnr_b100=27.567, psnr_set14=28.265, psnr_set5=32.259, psnr_urban100=26.002, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    24 | train=0.003173 | val=nan | lr=0.001896 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.562, psnr_set14=28.221, psnr_set5=32.266, psnr_urban100=26.014, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    25 | train=0.003073 | val=nan | lr=0.001972 | t_train=12.78 | t_val=12.10 | mem=383.9 | psnr_b100=27.567, psnr_set14=28.240, psnr_set5=32.257, psnr_urban100=25.974, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    26 | train=0.004041 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.534, psnr_set14=28.162, psnr_set5=32.212, psnr_urban100=25.918, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    27 | train=0.004054 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.558, psnr_set14=28.240, psnr_set5=32.271, psnr_urban100=25.992, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    28 | train=0.005002 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.17 | mem=383.9 | psnr_b100=27.534, psnr_set14=28.222, psnr_set5=32.250, psnr_urban100=25.940, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    29 | train=0.005983 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.17 | mem=383.9 | psnr_b100=27.549, psnr_set14=28.190, psnr_set5=32.240, psnr_urban100=25.948, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    30 | train=0.006270 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.548, psnr_set14=28.247, psnr_set5=32.277, psnr_urban100=25.953, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    31 | train=0.007239 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.13 | mem=383.9 | psnr_b100=27.528, psnr_set14=28.239, psnr_set5=32.256, psnr_urban100=25.946, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    32 | train=0.010261 | val=nan | lr=0.002 | t_train=12.84 | t_val=12.18 | mem=383.9 | psnr_b100=27.520, psnr_set14=28.198, psnr_set5=32.246, psnr_urban100=25.919, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    33 | train=0.010123 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.524, psnr_set14=28.127, psnr_set5=32.174, psnr_urban100=25.885, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.961 |
    34 | train=0.011051 | val=nan | lr=0.002 | t_train=12.87 | t_val=12.13 | mem=383.9 | psnr_b100=27.527, psnr_set14=28.223, psnr_set5=32.247, psnr_urban100=25.933, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    35 | train=0.011609 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.475, psnr_set14=28.095, psnr_set5=32.065, psnr_urban100=25.814, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    36 | train=0.012562 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.492, psnr_set14=28.145, psnr_set5=32.163, psnr_urban100=25.839, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    37 | train=0.014392 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.493, psnr_set14=28.138, psnr_set5=32.090, psnr_urban100=25.860, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    38 | train=0.014914 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.475, psnr_set14=28.132, psnr_set5=32.092, psnr_urban100=25.827, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.960 |
    39 | train=0.014505 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.496, psnr_set14=28.189, psnr_set5=32.179, psnr_urban100=25.873, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    40 | train=0.016436 | val=nan | lr=0.002 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=27.486, psnr_set14=28.160, psnr_set5=32.124, psnr_urban100=25.834, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    41 | train=0.017812 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.505, psnr_set14=28.197, psnr_set5=32.206, psnr_urban100=25.852, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    42 | train=0.016895 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.528, psnr_set14=28.210, psnr_set5=32.232, psnr_urban100=25.914, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    43 | train=0.018616 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.527, psnr_set14=28.175, psnr_set5=32.200, psnr_urban100=25.920, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    44 | train=0.019219 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.503, psnr_set14=28.164, psnr_set5=32.176, psnr_urban100=25.847, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    45 | train=0.019792 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.15 | mem=383.9 | psnr_b100=27.497, psnr_set14=28.191, psnr_set5=32.183, psnr_urban100=25.839, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    46 | train=0.021716 | val=nan | lr=0.002 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.449, psnr_set14=28.097, psnr_set5=32.110, psnr_urban100=25.715, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    47 | train=0.021127 | val=nan | lr=0.002 | t_train=12.90 | t_val=12.25 | mem=383.9 | psnr_b100=27.473, psnr_set14=28.127, psnr_set5=32.156, psnr_urban100=25.774, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    48 | train=0.022618 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.485, psnr_set14=28.125, psnr_set5=32.155, psnr_urban100=25.788, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    49 | train=0.022571 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.08 | mem=383.9 | psnr_b100=27.426, psnr_set14=28.051, psnr_set5=32.061, psnr_urban100=25.663, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.957 |
    50 | train=0.023689 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.457, psnr_set14=28.102, psnr_set5=32.140, psnr_urban100=25.777, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    51 | train=0.024467 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.475, psnr_set14=28.116, psnr_set5=32.154, psnr_urban100=25.766, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    52 | train=0.026489 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.446, psnr_set14=28.113, psnr_set5=32.116, psnr_urban100=25.721, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    53 | train=0.025318 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.10 | mem=383.9 | psnr_b100=27.409, psnr_set14=28.046, psnr_set5=32.121, psnr_urban100=25.678, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    54 | train=0.026211 | val=nan | lr=0.002 | t_train=12.89 | t_val=12.15 | mem=383.9 | psnr_b100=27.394, psnr_set14=28.057, psnr_set5=32.124, psnr_urban100=25.648, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    55 | train=0.026289 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.13 | mem=383.9 | psnr_b100=27.387, psnr_set14=28.078, psnr_set5=32.064, psnr_urban100=25.688, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    56 | train=0.027004 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.363, psnr_set14=28.036, psnr_set5=32.004, psnr_urban100=25.612, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    57 | train=0.027508 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.357, psnr_set14=28.023, psnr_set5=32.063, psnr_urban100=25.587, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    58 | train=0.028410 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.359, psnr_set14=28.005, psnr_set5=32.008, psnr_urban100=25.540, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    59 | train=0.027986 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.310, psnr_set14=27.952, psnr_set5=31.982, psnr_urban100=25.519, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.908, ssim_urban100=0.957 |
    60 | train=0.028558 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.376, psnr_set14=28.055, psnr_set5=32.074, psnr_urban100=25.595, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    61 | train=0.028536 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.400, psnr_set14=28.074, psnr_set5=32.062, psnr_urban100=25.645, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    62 | train=0.030193 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.379, psnr_set14=28.046, psnr_set5=32.037, psnr_urban100=25.629, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.958 |
    63 | train=0.030215 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.381, psnr_set14=28.048, psnr_set5=32.039, psnr_urban100=25.581, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.957 |
    64 | train=0.029343 | val=nan | lr=0.002 | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=27.373, psnr_set14=28.039, psnr_set5=32.030, psnr_urban100=25.601, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    65 | train=0.029357 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.06 | mem=383.9 | psnr_b100=27.383, psnr_set14=28.035, psnr_set5=31.999, psnr_urban100=25.586, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.957 |
    66 | train=0.030757 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.12 | mem=383.9 | psnr_b100=27.359, psnr_set14=28.017, psnr_set5=32.005, psnr_urban100=25.539, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    67 | train=0.029242 | val=nan | lr=0.002 | t_train=12.71 | t_val=12.07 | mem=383.9 | psnr_b100=27.424, psnr_set14=28.062, psnr_set5=32.029, psnr_urban100=25.648, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    68 | train=0.030393 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.08 | mem=383.9 | psnr_b100=27.373, psnr_set14=28.034, psnr_set5=32.002, psnr_urban100=25.571, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    69 | train=0.032678 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.364, psnr_set14=27.994, psnr_set5=31.981, psnr_urban100=25.546, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    70 | train=0.031217 | val=nan | lr=0.002 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=27.384, psnr_set14=28.025, psnr_set5=32.010, psnr_urban100=25.549, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    71 | train=0.031318 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.417, psnr_set14=28.044, psnr_set5=32.032, psnr_urban100=25.586, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.958 |
    72 | train=0.030853 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.366, psnr_set14=28.004, psnr_set5=31.922, psnr_urban100=25.556, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.958 |
    73 | train=0.031432 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.368, psnr_set14=28.038, psnr_set5=31.890, psnr_urban100=25.518, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.908, ssim_urban100=0.957 |
    74 | train=0.031523 | val=nan | lr=0.002 | t_train=12.92 | t_val=12.28 | mem=383.9 | psnr_b100=27.349, psnr_set14=27.961, psnr_set5=31.856, psnr_urban100=25.514, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
    75 | train=0.031670 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.10 | mem=383.9 | psnr_b100=27.406, psnr_set14=28.049, psnr_set5=31.996, psnr_urban100=25.587, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.958 |
    76 | train=0.029923 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.10 | mem=383.9 | psnr_b100=27.380, psnr_set14=28.049, psnr_set5=31.976, psnr_urban100=25.567, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    77 | train=0.029122 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.396, psnr_set14=28.052, psnr_set5=32.019, psnr_urban100=25.583, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.958 |
    78 | train=0.029626 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.367, psnr_set14=28.020, psnr_set5=31.929, psnr_urban100=25.486, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    79 | train=0.030046 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.360, psnr_set14=28.020, psnr_set5=31.889, psnr_urban100=25.451, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.956 |
    80 | train=0.029484 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.16 | mem=383.9 | psnr_b100=27.418, psnr_set14=28.054, psnr_set5=31.909, psnr_urban100=25.547, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.908, ssim_urban100=0.958 |
    81 | train=0.029413 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.09 | mem=383.9 | psnr_b100=27.342, psnr_set14=27.959, psnr_set5=31.802, psnr_urban100=25.440, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.905, ssim_urban100=0.956 |
    82 | train=0.028184 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.399, psnr_set14=28.017, psnr_set5=31.919, psnr_urban100=25.527, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    83 | train=0.027511 | val=nan | lr=0.002 | t_train=12.87 | t_val=12.21 | mem=383.9 | psnr_b100=27.364, psnr_set14=27.990, psnr_set5=31.869, psnr_urban100=25.465, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.957 |
    84 | train=0.029385 | val=nan | lr=0.002 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=27.262, psnr_set14=27.857, psnr_set5=31.614, psnr_urban100=25.353, ssim_b100=0.727, ssim_set14=0.854, ssim_set5=0.905, ssim_urban100=0.956 |
    85 | train=0.028849 | val=nan | lr=0.002 | t_train=12.88 | t_val=12.13 | mem=383.9 | psnr_b100=27.271, psnr_set14=27.871, psnr_set5=31.601, psnr_urban100=25.337, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.903, ssim_urban100=0.955 |
    86 | train=0.026656 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.236, psnr_set14=27.749, psnr_set5=31.384, psnr_urban100=25.219, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.899, ssim_urban100=0.954 |
    87 | train=0.025620 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.287, psnr_set14=27.849, psnr_set5=31.655, psnr_urban100=25.324, ssim_b100=0.727, ssim_set14=0.854, ssim_set5=0.904, ssim_urban100=0.955 |
    88 | train=0.025594 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.12 | mem=383.9 | psnr_b100=27.243, psnr_set14=27.785, psnr_set5=31.455, psnr_urban100=25.194, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.901, ssim_urban100=0.953 |
    89 | train=0.024644 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.165, psnr_set14=27.664, psnr_set5=31.291, psnr_urban100=25.079, ssim_b100=0.724, ssim_set14=0.851, ssim_set5=0.897, ssim_urban100=0.952 |
    90 | train=0.024778 | val=nan | lr=0.002 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.222, psnr_set14=27.788, psnr_set5=31.525, psnr_urban100=25.172, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.902, ssim_urban100=0.952 |
    91 | train=0.023274 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.147, psnr_set14=27.695, psnr_set5=31.445, psnr_urban100=25.119, ssim_b100=0.723, ssim_set14=0.852, ssim_set5=0.900, ssim_urban100=0.953 |
