    39 | train=0.054106 | val=nan | lr=0.02 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=24.232, psnr_set14=24.404, psnr_set5=26.327, psnr_urban100=22.226, ssim_b100=0.539, ssim_set14=0.724, ssim_set5=0.690, ssim_urban100=0.905 |
    40 | train=0.034387 | val=nan | lr=0.02 | t_train=12.87 | t_val=12.21 | mem=383.9 | psnr_b100=23.923, psnr_set14=23.935, psnr_set5=25.898, psnr_urban100=21.850, ssim_b100=0.618, ssim_set14=0.772, ssim_set5=0.754, ssim_urban100=0.908 |
    41 | train=0.047609 | val=nan | lr=0.019964 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=24.607, psnr_set14=24.432, psnr_set5=26.285, psnr_urban100=22.358, ssim_b100=0.591, ssim_set14=0.757, ssim_set5=0.753, ssim_urban100=0.913 |
    42 | train=0.033311 | val=nan | lr=0.019926 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=25.502, psnr_set14=25.641, psnr_set5=28.276, psnr_urban100=23.044, ssim_b100=0.626, ssim_set14=0.782, ssim_set5=0.789, ssim_urban100=0.921 |
    43 | train=0.031094 | val=nan | lr=0.019888 | t_train=12.82 | t_val=12.18 | mem=383.9 | psnr_b100=25.501, psnr_set14=25.487, psnr_set5=28.060, psnr_urban100=22.982, ssim_b100=0.657, ssim_set14=0.804, ssim_set5=0.819, ssim_urban100=0.925 |
    44 | train=0.025298 | val=nan | lr=0.019851 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=25.792, psnr_set14=25.816, psnr_set5=28.621, psnr_urban100=23.197, ssim_b100=0.656, ssim_set14=0.803, ssim_set5=0.825, ssim_urban100=0.924 |
    45 | train=0.027560 | val=nan | lr=0.019813 | t_train=12.95 | t_val=12.29 | mem=383.9 | psnr_b100=25.969, psnr_set14=25.932, psnr_set5=28.798, psnr_urban100=23.301, ssim_b100=0.652, ssim_set14=0.802, ssim_set5=0.820, ssim_urban100=0.926 |
    46 | train=0.028629 | val=nan | lr=0.019775 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=25.273, psnr_set14=25.047, psnr_set5=27.260, psnr_urban100=22.864, ssim_b100=0.639, ssim_set14=0.790, ssim_set5=0.798, ssim_urban100=0.915 |
    47 | train=0.020759 | val=nan | lr=0.019738 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=25.819, psnr_set14=25.779, psnr_set5=28.531, psnr_urban100=23.221, ssim_b100=0.654, ssim_set14=0.790, ssim_set5=0.805, ssim_urban100=0.924 |
    48 | train=0.030606 | val=nan | lr=0.0197 | t_train=12.77 | t_val=12.13 | mem=383.9 | psnr_b100=25.808, psnr_set14=25.770, psnr_set5=28.539, psnr_urban100=23.180, ssim_b100=0.663, ssim_set14=0.798, ssim_set5=0.820, ssim_urban100=0.927 |
    49 | train=0.035572 | val=nan | lr=0.019663 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=23.801, psnr_set14=23.908, psnr_set5=25.528, psnr_urban100=21.958, ssim_b100=0.607, ssim_set14=0.770, ssim_set5=0.755, ssim_urban100=0.910 |
