   191 | base=1.131347 | val=0.871446 | acc1=0.7346 | Wμ=0.991 | Aμ=1.067 | Wmax=1.000 | LR=0.0017212 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   193 | base=1.096112 | val=0.769107 | acc1=0.7563 | Wμ=0.991 | Aμ=1.052 | Wmax=1.000 | LR=0.0017212 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   195 | base=1.090432 | val=0.686790 | acc1=0.7790 | Wμ=0.991 | Aμ=1.051 | Wmax=1.000 | LR=0.0014835 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   197 | base=1.073278 | val=0.756297 | acc1=0.7552 | Wμ=0.991 | Aμ=1.044 | Wmax=1.000 | LR=0.0012767 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   199 | base=1.123526 | val=1.141946 | acc1=0.6540 | Wμ=0.992 | Aμ=1.028 | Wmax=1.000 | LR=0.0010988 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   201 | base=1.084114 | val=0.704552 | acc1=0.7715 | Wμ=0.991 | Aμ=1.002 | Wmax=1.000 | LR=0.00094562 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   203 | base=1.064809 | val=0.762978 | acc1=0.7673 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | LR=0.00081381 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   205 | base=0.994668 | val=0.693615 | acc1=0.7760 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | LR=0.00070037 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   207 | base=1.088915 | val=0.727101 | acc1=0.7633 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | LR=0.00060275 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   209 | base=0.972866 | val=0.965858 | acc1=0.6986 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | LR=0.00051873 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   211 | base=1.000540 | val=0.591501 | acc1=0.8059 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | LR=0.00044643 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   213 | base=0.957539 | val=0.743523 | acc1=0.7634 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | LR=0.0003842 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   215 | base=0.889882 | val=0.960132 | acc1=0.7062 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | LR=0.00033065 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
