   105 | base=0.988057 | val=0.541007 | acc1=0.8181 | Wμ=0.991 | Aμ=0.997 | Wmax=1.000 | Amax=1.000 |LR=0.00017396 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   107 | base=0.988434 | val=0.702045 | acc1=0.7738 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00014971 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   109 | base=1.042151 | val=0.570074 | acc1=0.8067 | Wμ=0.992 | Aμ=0.997 | Wmax=1.000 | Amax=1.000 |LR=0.00012884 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   111 | base=0.931978 | val=0.529695 | acc1=0.8261 | Wμ=0.992 | Aμ=0.997 | Wmax=1.000 | Amax=1.000 |LR=0.00011088 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   113 | base=0.950102 | val=0.728470 | acc1=0.7645 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=9.5426e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   115 | base=0.966194 | val=0.583688 | acc1=0.8140 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=8.2125e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   117 | base=0.938773 | val=0.523422 | acc1=0.8257 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=7.0677e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   119 | base=0.946354 | val=0.658606 | acc1=0.7911 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=6.0826e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   121 | base=1.007434 | val=0.589682 | acc1=0.8081 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=5.2347e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   123 | base=0.950441 | val=0.545207 | acc1=0.8245 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=4.5051e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   125 | base=0.897108 | val=0.652359 | acc1=0.7868 | Wμ=0.993 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=3.8771e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   127 | base=0.939486 | val=0.607981 | acc1=0.8036 | Wμ=0.994 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=3.3367e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   129 | base=0.946329 | val=0.678231 | acc1=0.7859 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.8716e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   131 | base=0.874036 | val=0.597997 | acc1=0.8070 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.4713e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   133 | base=1.012275 | val=0.648862 | acc1=0.7910 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.1268e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   135 | base=0.991140 | val=0.566164 | acc1=0.8154 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.8304e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   137 | base=0.934792 | val=0.579551 | acc1=0.8123 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.5753e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   139 | base=0.951154 | val=0.547484 | acc1=0.8210 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.3557e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   141 | base=0.968899 | val=0.477274 | acc1=0.8376 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.1667e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   143 | base=0.910881 | val=0.577238 | acc1=0.8099 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.0041e-05 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   145 | base=0.944413 | val=0.519844 | acc1=0.8227 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=8.6413e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   147 | base=0.923105 | val=0.525019 | acc1=0.8300 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=7.4368e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   149 | base=0.958311 | val=0.548632 | acc1=0.8182 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=6.4002e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   151 | base=0.972000 | val=0.518214 | acc1=0.8316 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=5.5081e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   153 | base=0.881018 | val=0.518114 | acc1=0.8268 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.7403e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   155 | base=0.933042 | val=0.524090 | acc1=0.8307 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.0795e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   157 | base=0.900890 | val=0.566760 | acc1=0.8151 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.5109e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   159 | base=0.941968 | val=0.508384 | acc1=0.8302 | Wμ=0.994 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.0215e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   161 | base=0.912692 | val=0.541032 | acc1=0.8182 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.6004e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   163 | base=0.944433 | val=0.544496 | acc1=0.8242 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.2379e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   165 | base=0.913655 | val=0.498713 | acc1=0.8328 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.926e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   167 | base=0.820523 | val=0.530942 | acc1=0.8239 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.6575e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   169 | base=0.946225 | val=0.509616 | acc1=0.8282 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.4265e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   171 | base=0.904717 | val=0.495849 | acc1=0.8356 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.2276e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   173 | base=0.924099 | val=0.499318 | acc1=0.8339 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.0565e-06 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   175 | base=0.894869 | val=0.516536 | acc1=0.8314 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=9.0925e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   177 | base=0.927219 | val=0.536257 | acc1=0.8256 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=7.8251e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   179 | base=0.878903 | val=0.576143 | acc1=0.8102 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=6.7343e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   181 | base=0.883977 | val=0.525791 | acc1=0.8242 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=5.7956e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   183 | base=0.941873 | val=0.524186 | acc1=0.8264 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.9878e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   185 | base=0.878006 | val=0.491509 | acc1=0.8362 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.2926e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   187 | base=0.909241 | val=0.512590 | acc1=0.8319 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.6942e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   189 | base=0.991800 | val=0.539330 | acc1=0.8204 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.1793e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   191 | base=0.920765 | val=0.526571 | acc1=0.8242 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.7361e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   193 | base=0.941360 | val=0.515871 | acc1=0.8289 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.3547e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   195 | base=0.861353 | val=0.480666 | acc1=0.8397 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.0265e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   197 | base=0.888133 | val=0.550897 | acc1=0.8204 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.744e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   199 | base=0.894341 | val=0.513153 | acc1=0.8259 | Wμ=0.995 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.5009e-07 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
