     3 | base=0.003038 | val=0.238644 | acc1=0.9267 | Wμ=9.786 | Aμ=10.004 | Wmax=10.008 | LR=0.000398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     5 | base=0.005144 | val=0.239073 | acc1=0.9273 | Wμ=9.786 | Aμ=10.010 | Wmax=10.014 | LR=0.000598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     7 | base=0.004966 | val=0.237778 | acc1=0.9266 | Wμ=9.787 | Aμ=10.020 | Wmax=10.028 | LR=0.000798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     9 | base=0.006365 | val=0.241997 | acc1=0.9251 | Wμ=9.793 | Aμ=10.031 | Wmax=10.047 | LR=0.000998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    11 | base=0.013057 | val=0.243561 | acc1=0.9228 | Wμ=9.798 | Aμ=10.045 | Wmax=10.065 | LR=0.001198 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    13 | base=0.030124 | val=0.266996 | acc1=0.9156 | Wμ=9.806 | Aμ=10.064 | Wmax=10.107 | LR=0.001398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    15 | base=0.040394 | val=0.293772 | acc1=0.9057 | Wμ=9.818 | Aμ=10.075 | Wmax=10.206 | LR=0.001598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    17 | base=0.038687 | val=0.256371 | acc1=0.9192 | Wμ=9.836 | Aμ=10.083 | Wmax=10.236 | LR=0.001798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    19 | base=0.045279 | val=0.258564 | acc1=0.9193 | Wμ=9.852 | Aμ=10.101 | Wmax=10.247 | LR=0.001998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    21 | base=0.044278 | val=0.287625 | acc1=0.9089 | Wμ=9.579 | Aμ=9.855 | Wmax=9.967 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    23 | base=0.045144 | val=0.254043 | acc1=0.9195 | Wμ=9.081 | Aμ=9.558 | Wmax=9.605 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    25 | base=0.034205 | val=0.261031 | acc1=0.9194 | Wμ=8.601 | Aμ=9.202 | Wmax=9.212 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    27 | base=0.042155 | val=0.259841 | acc1=0.9183 | Wμ=8.154 | Aμ=8.858 | Wmax=8.823 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    29 | base=0.036984 | val=0.263618 | acc1=0.9183 | Wμ=7.719 | Aμ=8.525 | Wmax=8.476 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    31 | base=0.039888 | val=0.264712 | acc1=0.9173 | Wμ=7.302 | Aμ=8.188 | Wmax=8.134 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    33 | base=0.039863 | val=0.259165 | acc1=0.9189 | Wμ=6.909 | Aμ=7.836 | Wmax=7.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    35 | base=0.036265 | val=0.263674 | acc1=0.9193 | Wμ=6.525 | Aμ=7.509 | Wmax=7.468 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    37 | base=0.042643 | val=0.262759 | acc1=0.9156 | Wμ=6.139 | Aμ=7.206 | Wmax=7.140 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    39 | base=0.047431 | val=0.265658 | acc1=0.9160 | Wμ=5.771 | Aμ=6.919 | Wmax=6.833 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    41 | base=0.048281 | val=0.261616 | acc1=0.9175 | Wμ=5.406 | Aμ=6.644 | Wmax=6.539 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=0.074224 | val=0.294909 | acc1=0.9067 | Wμ=5.056 | Aμ=6.404 | Wmax=6.248 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=0.070530 | val=0.291528 | acc1=0.9064 | Wμ=4.704 | Aμ=6.177 | Wmax=5.977 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=0.080200 | val=0.299568 | acc1=0.9064 | Wμ=4.367 | Aμ=5.975 | Wmax=5.672 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=0.073015 | val=0.273539 | acc1=0.9149 | Wμ=4.030 | Aμ=5.780 | Wmax=5.426 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=0.070026 | val=0.281434 | acc1=0.9082 | Wμ=3.709 | Aμ=5.615 | Wmax=5.129 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=0.113759 | val=0.308457 | acc1=0.9027 | Wμ=3.408 | Aμ=5.470 | Wmax=4.858 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=0.105318 | val=0.287756 | acc1=0.9104 | Wμ=3.126 | Aμ=5.340 | Wmax=4.644 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=0.150631 | val=0.305903 | acc1=0.9051 | Wμ=2.863 | Aμ=5.227 | Wmax=4.392 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=0.148641 | val=0.373053 | acc1=0.8859 | Wμ=2.619 | Aμ=5.116 | Wmax=4.248 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
