    28 | base=1.196220 | val=1.879533 | acc1=0.4932 | Wμ=1.004 | Aμ=1.595 | Wmax=2.000 | Amax=2.000 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    29 | base=1.457088 | val=1.763567 | acc1=0.5138 | Wμ=0.996 | Aμ=1.426 | Wmax=2.000 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    30 | base=1.384395 | val=2.469370 | acc1=0.4482 | Wμ=0.990 | Aμ=1.285 | Wmax=1.585 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    31 | base=1.834345 | val=1.296774 | acc1=0.5653 | Wμ=0.985 | Aμ=1.189 | Wmax=1.585 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    32 | base=1.575579 | val=1.522049 | acc1=0.5385 | Wμ=0.981 | Aμ=1.157 | Wmax=1.585 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    33 | base=1.449738 | val=1.480884 | acc1=0.5870 | Wμ=0.976 | Aμ=1.102 | Wmax=1.000 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    34 | base=1.636859 | val=1.649289 | acc1=0.5719 | Wμ=0.973 | Aμ=1.049 | Wmax=1.000 | Amax=1.585 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    35 | base=1.422152 | val=1.350048 | acc1=0.6104 | Wμ=0.970 | Aμ=1.026 | Wmax=1.000 | Amax=1.000 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    36 | base=1.416786 | val=0.784452 | acc1=0.7379 | Wμ=0.968 | Aμ=0.978 | Wmax=1.000 | Amax=1.000 |LR=0.018582 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    37 | base=1.388302 | val=1.105397 | acc1=0.6634 | Wμ=0.967 | Aμ=0.979 | Wmax=1.000 | Amax=1.000 |LR=0.017238 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    38 | base=1.346618 | val=0.880093 | acc1=0.7178 | Wμ=0.967 | Aμ=0.965 | Wmax=1.000 | Amax=1.000 |LR=0.015992 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    39 | base=1.321927 | val=1.215744 | acc1=0.6357 | Wμ=0.966 | Aμ=0.970 | Wmax=1.000 | Amax=1.000 |LR=0.014835 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
