    73 | base=0.322312 | val=0.403033 | acc1=0.8696 | Wμ=1.645 | Aμ=4.529 | Wmax=3.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=0.385315 | val=0.635983 | acc1=0.8141 | Wμ=1.578 | Aμ=4.436 | Wmax=3.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=0.333998 | val=0.574129 | acc1=0.8175 | Wμ=1.524 | Aμ=4.352 | Wmax=3.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=0.388602 | val=0.517293 | acc1=0.8366 | Wμ=1.472 | Aμ=4.248 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    81 | base=0.410281 | val=0.769789 | acc1=0.7730 | Wμ=1.427 | Aμ=4.147 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    83 | base=0.414680 | val=0.686787 | acc1=0.7868 | Wμ=1.386 | Aμ=4.041 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    85 | base=0.440659 | val=0.918708 | acc1=0.7305 | Wμ=1.349 | Aμ=3.957 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    87 | base=0.394688 | val=0.657356 | acc1=0.7951 | Wμ=1.312 | Aμ=3.841 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    89 | base=0.446926 | val=0.850196 | acc1=0.7329 | Wμ=1.274 | Aμ=3.728 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    91 | base=0.494774 | val=0.693581 | acc1=0.7919 | Wμ=1.243 | Aμ=3.621 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
