    79 | train=0.031921 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.381, psnr_set14=28.013, psnr_set5=31.943, psnr_urban100=25.481, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    80 | train=0.029454 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.423, psnr_set14=28.042, psnr_set5=31.981, psnr_urban100=25.595, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.958 |
    81 | train=0.028910 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.352, psnr_set14=27.976, psnr_set5=31.825, psnr_urban100=25.491, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
    82 | train=0.027918 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.14 | mem=383.9 | psnr_b100=27.292, psnr_set14=27.911, psnr_set5=31.754, psnr_urban100=25.356, ssim_b100=0.727, ssim_set14=0.854, ssim_set5=0.906, ssim_urban100=0.956 |
    83 | train=0.027193 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.253, psnr_set14=27.866, psnr_set5=31.626, psnr_urban100=25.364, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.905, ssim_urban100=0.956 |
    84 | train=0.029240 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.361, psnr_set14=27.984, psnr_set5=31.844, psnr_urban100=25.477, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.908, ssim_urban100=0.957 |
    85 | train=0.026134 | val=nan | lr=0.002 | t_train=12.85 | t_val=12.11 | mem=383.9 | psnr_b100=27.328, psnr_set14=27.959, psnr_set5=31.807, psnr_urban100=25.314, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.906, ssim_urban100=0.955 |
    86 | train=0.025918 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.344, psnr_set14=27.932, psnr_set5=31.759, psnr_urban100=25.380, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.906, ssim_urban100=0.956 |
    87 | train=0.025183 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.238, psnr_set14=27.818, psnr_set5=31.617, psnr_urban100=25.212, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.904, ssim_urban100=0.954 |
    88 | train=0.025642 | val=nan | lr=0.002 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.235, psnr_set14=27.853, psnr_set5=31.664, psnr_urban100=25.214, ssim_b100=0.726, ssim_set14=0.854, ssim_set5=0.905, ssim_urban100=0.954 |
    89 | train=0.026873 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.229, psnr_set14=27.792, psnr_set5=31.524, psnr_urban100=25.170, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.902, ssim_urban100=0.954 |
    90 | train=0.023941 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.174, psnr_set14=27.711, psnr_set5=31.462, psnr_urban100=25.097, ssim_b100=0.724, ssim_set14=0.852, ssim_set5=0.901, ssim_urban100=0.952 |
    91 | train=0.023253 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.210, psnr_set14=27.788, psnr_set5=31.563, psnr_urban100=25.121, ssim_b100=0.725, ssim_set14=0.852, ssim_set5=0.902, ssim_urban100=0.952 |
    92 | train=0.024660 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.201, psnr_set14=27.847, psnr_set5=31.576, psnr_urban100=25.158, ssim_b100=0.725, ssim_set14=0.853, ssim_set5=0.904, ssim_urban100=0.952 |
