# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    14 | train=0.004110 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00568 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.496, psnr_set14=28.116, psnr_set5=32.132, psnr_urban100=25.826, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |  | a_actual_b100=9.001, a_actual_set14=9.160, a_actual_set5=9.030, a_actual_urban100=9.399, a_max_b100=9.779, a_max_set14=9.909, a_max_set5=9.860, a_max_urban100=9.978, a_mean_b100=10.036, a_mean_set14=10.036, a_mean_set5=10.036, a_mean_urban100=10.036, w_actual_b100=10.040, w_actual_set14=10.040, w_actual_set5=10.040, w_actual_urban100=10.040, w_max_b100=10.095, w_max_set14=10.095, w_max_set5=10.095, w_max_urban100=10.095, w_mean_b100=9.980, w_mean_set14=9.980, w_mean_set5=9.980, w_mean_urban100=9.980
    15 | train=0.005284 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00606 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.427, psnr_set14=28.030, psnr_set5=31.888, psnr_urban100=25.779, ssim_b100=0.732, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.959 |  | a_actual_b100=8.947, a_actual_set14=9.123, a_actual_set5=8.956, a_actual_urban100=9.345, a_max_b100=9.750, a_max_set14=9.888, a_max_set5=9.868, a_max_urban100=9.953, a_mean_b100=10.040, a_mean_set14=10.040, a_mean_set5=10.040, a_mean_urban100=10.040, w_actual_b100=10.046, w_actual_set14=10.046, w_actual_set5=10.046, w_actual_urban100=10.046, w_max_b100=10.133, w_max_set14=10.133, w_max_set5=10.133, w_max_urban100=10.133, w_mean_b100=9.981, w_mean_set14=9.981, w_mean_set5=9.981, w_mean_urban100=9.981
    16 | train=0.005818 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00644 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.438, psnr_set14=28.067, psnr_set5=31.994, psnr_urban100=25.762, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.959 |  | a_actual_b100=8.941, a_actual_set14=9.112, a_actual_set5=8.962, a_actual_urban100=9.347, a_max_b100=9.751, a_max_set14=9.883, a_max_set5=9.882, a_max_urban100=9.958, a_mean_b100=10.042, a_mean_set14=10.042, a_mean_set5=10.042, a_mean_urban100=10.042, w_actual_b100=10.053, w_actual_set14=10.053, w_actual_set5=10.053, w_actual_urban100=10.053, w_max_b100=10.155, w_max_set14=10.155, w_max_set5=10.155, w_max_urban100=10.155, w_mean_b100=9.981, w_mean_set14=9.981, w_mean_set5=9.981, w_mean_urban100=9.981
    17 | train=0.005754 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00682 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.424, psnr_set14=28.062, psnr_set5=32.022, psnr_urban100=25.691, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.959 |  | a_actual_b100=8.967, a_actual_set14=9.147, a_actual_set5=8.980, a_actual_urban100=9.371, a_max_b100=9.762, a_max_set14=9.899, a_max_set5=9.884, a_max_urban100=9.959, a_mean_b100=10.045, a_mean_set14=10.045, a_mean_set5=10.045, a_mean_urban100=10.045, w_actual_b100=10.060, w_actual_set14=10.060, w_actual_set5=10.060, w_actual_urban100=10.060, w_max_b100=10.128, w_max_set14=10.128, w_max_set5=10.128, w_max_urban100=10.128, w_mean_b100=9.981, w_mean_set14=9.981, w_mean_set5=9.981, w_mean_urban100=9.981
    18 | train=0.005416 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0072 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=27.422, psnr_set14=28.019, psnr_set5=31.934, psnr_urban100=25.654, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.958 |  | a_actual_b100=8.907, a_actual_set14=9.099, a_actual_set5=8.937, a_actual_urban100=9.307, a_max_b100=9.756, a_max_set14=9.896, a_max_set5=9.883, a_max_urban100=9.960, a_mean_b100=10.048, a_mean_set14=10.048, a_mean_set5=10.048, a_mean_urban100=10.048, w_actual_b100=10.064, w_actual_set14=10.064, w_actual_set5=10.064, w_actual_urban100=10.064, w_max_b100=10.134, w_max_set14=10.134, w_max_set5=10.134, w_max_urban100=10.134, w_mean_b100=9.983, w_mean_set14=9.983, w_mean_set5=9.983, w_mean_urban100=9.983
    19 | train=0.008290 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00758 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.76 | t_val=12.12 | mem=383.9 | psnr_b100=27.394, psnr_set14=28.011, psnr_set5=31.813, psnr_urban100=25.621, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.906, ssim_urban100=0.958 |  | a_actual_b100=8.926, a_actual_set14=9.130, a_actual_set5=8.980, a_actual_urban100=9.364, a_max_b100=9.789, a_max_set14=9.958, a_max_set5=9.940, a_max_urban100=9.986, a_mean_b100=10.051, a_mean_set14=10.051, a_mean_set5=10.051, a_mean_urban100=10.051, w_actual_b100=10.073, w_actual_set14=10.073, w_actual_set5=10.073, w_actual_urban100=10.073, w_max_b100=10.171, w_max_set14=10.171, w_max_set5=10.171, w_max_urban100=10.171, w_mean_b100=9.984, w_mean_set14=9.984, w_mean_set5=9.984, w_mean_urban100=9.984
    20 | train=0.014770 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00796 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.74 | t_val=12.10 | mem=383.9 | psnr_b100=27.243, psnr_set14=27.747, psnr_set5=31.491, psnr_urban100=25.342, ssim_b100=0.718, ssim_set14=0.849, ssim_set5=0.897, ssim_urban100=0.955 |  | a_actual_b100=8.870, a_actual_set14=9.060, a_actual_set5=8.899, a_actual_urban100=9.281, a_max_b100=9.773, a_max_set14=9.930, a_max_set5=9.902, a_max_urban100=9.977, a_mean_b100=10.054, a_mean_set14=10.054, a_mean_set5=10.054, a_mean_urban100=10.054, w_actual_b100=10.079, w_actual_set14=10.079, w_actual_set5=10.079, w_actual_urban100=10.079, w_max_b100=10.180, w_max_set14=10.180, w_max_set5=10.180, w_max_urban100=10.180, w_mean_b100=9.985, w_mean_set14=9.985, w_mean_set5=9.985, w_mean_urban100=9.985
    21 | train=0.012632 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00834 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.154, psnr_set14=27.583, psnr_set5=31.264, psnr_urban100=25.227, ssim_b100=0.712, ssim_set14=0.844, ssim_set5=0.888, ssim_urban100=0.955 |  | a_actual_b100=8.876, a_actual_set14=9.056, a_actual_set5=8.891, a_actual_urban100=9.292, a_max_b100=9.779, a_max_set14=9.944, a_max_set5=9.914, a_max_urban100=9.984, a_mean_b100=10.056, a_mean_set14=10.056, a_mean_set5=10.056, a_mean_urban100=10.056, w_actual_b100=10.087, w_actual_set14=10.087, w_actual_set5=10.087, w_actual_urban100=10.087, w_max_b100=10.190, w_max_set14=10.190, w_max_set5=10.190, w_max_urban100=10.190, w_mean_b100=9.986, w_mean_set14=9.986, w_mean_set5=9.986, w_mean_urban100=9.986
    22 | train=0.012286 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00872 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.82 | t_val=12.07 | mem=383.9 | psnr_b100=27.230, psnr_set14=27.750, psnr_set5=31.405, psnr_urban100=25.333, ssim_b100=0.721, ssim_set14=0.849, ssim_set5=0.895, ssim_urban100=0.956 |  | a_actual_b100=8.858, a_actual_set14=9.042, a_actual_set5=8.904, a_actual_urban100=9.287, a_max_b100=9.780, a_max_set14=9.926, a_max_set5=9.925, a_max_urban100=9.988, a_mean_b100=10.061, a_mean_set14=10.061, a_mean_set5=10.061, a_mean_urban100=10.061, w_actual_b100=10.096, w_actual_set14=10.096, w_actual_set5=10.096, w_actual_urban100=10.096, w_max_b100=10.277, w_max_set14=10.277, w_max_set5=10.277, w_max_urban100=10.277, w_mean_b100=9.987, w_mean_set14=9.987, w_mean_set5=9.987, w_mean_urban100=9.987
    23 | train=0.012416 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0091 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=26.939, psnr_set14=27.423, psnr_set5=30.878, psnr_urban100=25.040, ssim_b100=0.705, ssim_set14=0.841, ssim_set5=0.881, ssim_urban100=0.954 |  | a_actual_b100=8.812, a_actual_set14=8.983, a_actual_set5=8.840, a_actual_urban100=9.182, a_max_b100=9.781, a_max_set14=9.894, a_max_set5=9.920, a_max_urban100=9.971, a_mean_b100=10.067, a_mean_set14=10.067, a_mean_set5=10.067, a_mean_urban100=10.067, w_actual_b100=10.106, w_actual_set14=10.106, w_actual_set5=10.106, w_actual_urban100=10.106, w_max_b100=10.351, w_max_set14=10.351, w_max_set5=10.351, w_max_urban100=10.351, w_mean_b100=9.993, w_mean_set14=9.993, w_mean_set5=9.993, w_mean_urban100=9.993
