    39 | train=0.923930 | val=nan | lr=0.01 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=9.279, psnr_set14=9.581, psnr_set5=9.023, psnr_urban100=9.168, ssim_b100=0.037, ssim_set14=0.093, ssim_set5=0.066, ssim_urban100=0.277 |
    40 | train=0.497403 | val=nan | lr=0.01 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=14.275, psnr_set14=14.470, psnr_set5=13.924, psnr_urban100=13.839, ssim_b100=0.102, ssim_set14=0.317, ssim_set5=0.220, ssim_urban100=0.634 |
    41 | train=0.178872 | val=nan | lr=0.01 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=19.135, psnr_set14=18.830, psnr_set5=19.201, psnr_urban100=18.128, ssim_b100=0.191, ssim_set14=0.360, ssim_set5=0.301, ssim_urban100=0.782 |
    42 | train=0.173402 | val=nan | lr=0.01 | t_train=12.68 | t_val=12.04 | mem=383.9 | psnr_b100=20.454, psnr_set14=20.224, psnr_set5=21.240, psnr_urban100=19.104, ssim_b100=0.278, ssim_set14=0.579, ssim_set5=0.455, ssim_urban100=0.855 |
    43 | train=0.107231 | val=nan | lr=0.01 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=21.742, psnr_set14=21.327, psnr_set5=22.298, psnr_urban100=20.115, ssim_b100=0.328, ssim_set14=0.509, ssim_set5=0.458, ssim_urban100=0.858 |
    44 | train=0.104165 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=23.000, psnr_set14=22.909, psnr_set5=24.058, psnr_urban100=21.289, ssim_b100=0.428, ssim_set14=0.684, ssim_set5=0.614, ssim_urban100=0.881 |
    45 | train=0.099695 | val=nan | lr=0.01 | t_train=12.66 | t_val=12.00 | mem=383.9 | psnr_b100=22.871, psnr_set14=22.463, psnr_set5=23.940, psnr_urban100=20.955, ssim_b100=0.424, ssim_set14=0.686, ssim_set5=0.634, ssim_urban100=0.890 |
    46 | train=0.064968 | val=nan | lr=0.01 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=24.612, psnr_set14=24.508, psnr_set5=26.542, psnr_urban100=22.396, ssim_b100=0.505, ssim_set14=0.698, ssim_set5=0.680, ssim_urban100=0.904 |
    47 | train=0.061367 | val=nan | lr=0.01 | t_train=12.71 | t_val=12.04 | mem=383.9 | psnr_b100=24.748, psnr_set14=24.760, psnr_set5=26.809, psnr_urban100=22.531, ssim_b100=0.525, ssim_set14=0.715, ssim_set5=0.694, ssim_urban100=0.906 |
    48 | train=0.051505 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=25.316, psnr_set14=25.248, psnr_set5=27.385, psnr_urban100=22.891, ssim_b100=0.571, ssim_set14=0.765, ssim_set5=0.745, ssim_urban100=0.912 |
