# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    13 | train=0.004776 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0053 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.66 | t_val=12.00 | mem=383.9 | psnr_b100=27.387, psnr_set14=28.030, psnr_set5=31.881, psnr_urban100=25.685, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.959 |  | a_actual_b100=8.901, a_actual_set14=9.079, a_actual_set5=8.917, a_actual_urban100=9.280, a_max_b100=9.721, a_max_set14=9.874, a_max_set5=9.853, a_max_urban100=9.921, a_mean_b100=10.032, a_mean_set14=10.032, a_mean_set5=10.032, a_mean_urban100=10.032, w_actual_b100=10.039, w_actual_set14=10.039, w_actual_set5=10.039, w_actual_urban100=10.039, w_max_b100=10.127, w_max_set14=10.127, w_max_set5=10.127, w_max_urban100=10.127, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
    14 | train=0.004501 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00568 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.68 | t_val=12.04 | mem=383.9 | psnr_b100=27.424, psnr_set14=28.023, psnr_set5=32.040, psnr_urban100=25.703, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.959 |  | a_actual_b100=8.924, a_actual_set14=9.092, a_actual_set5=8.935, a_actual_urban100=9.291, a_max_b100=9.734, a_max_set14=9.865, a_max_set5=9.866, a_max_urban100=9.938, a_mean_b100=10.036, a_mean_set14=10.036, a_mean_set5=10.036, a_mean_urban100=10.036, w_actual_b100=10.042, w_actual_set14=10.042, w_actual_set5=10.042, w_actual_urban100=10.042, w_max_b100=10.128, w_max_set14=10.128, w_max_set5=10.128, w_max_urban100=10.128, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
    15 | train=0.004882 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00606 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.65 | t_val=12.00 | mem=383.9 | psnr_b100=27.407, psnr_set14=28.030, psnr_set5=31.977, psnr_urban100=25.696, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.959 |  | a_actual_b100=8.922, a_actual_set14=9.078, a_actual_set5=8.916, a_actual_urban100=9.278, a_max_b100=9.746, a_max_set14=9.865, a_max_set5=9.875, a_max_urban100=9.939, a_mean_b100=10.040, a_mean_set14=10.040, a_mean_set5=10.040, a_mean_urban100=10.040, w_actual_b100=10.047, w_actual_set14=10.047, w_actual_set5=10.047, w_actual_urban100=10.047, w_max_b100=10.145, w_max_set14=10.145, w_max_set5=10.145, w_max_urban100=10.145, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
    16 | train=0.005140 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00644 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.63 | t_val=11.98 | mem=383.9 | psnr_b100=27.378, psnr_set14=27.971, psnr_set5=31.992, psnr_urban100=25.623, ssim_b100=0.729, ssim_set14=0.854, ssim_set5=0.907, ssim_urban100=0.958 |  | a_actual_b100=8.940, a_actual_set14=9.117, a_actual_set5=8.941, a_actual_urban100=9.311, a_max_b100=9.759, a_max_set14=9.887, a_max_set5=9.898, a_max_urban100=9.954, a_mean_b100=10.045, a_mean_set14=10.045, a_mean_set5=10.045, a_mean_urban100=10.045, w_actual_b100=10.055, w_actual_set14=10.055, w_actual_set5=10.055, w_actual_urban100=10.055, w_max_b100=10.164, w_max_set14=10.164, w_max_set5=10.164, w_max_urban100=10.164, w_mean_b100=9.980, w_mean_set14=9.980, w_mean_set5=9.980, w_mean_urban100=9.980
    17 | train=0.004941 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00682 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.64 | t_val=11.99 | mem=383.9 | psnr_b100=27.398, psnr_set14=28.030, psnr_set5=31.929, psnr_urban100=25.619, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.957 |  | a_actual_b100=8.929, a_actual_set14=9.079, a_actual_set5=8.904, a_actual_urban100=9.296, a_max_b100=9.759, a_max_set14=9.903, a_max_set5=9.901, a_max_urban100=9.958, a_mean_b100=10.044, a_mean_set14=10.044, a_mean_set5=10.044, a_mean_urban100=10.044, w_actual_b100=10.059, w_actual_set14=10.059, w_actual_set5=10.059, w_actual_urban100=10.059, w_max_b100=10.146, w_max_set14=10.146, w_max_set5=10.146, w_max_urban100=10.146, w_mean_b100=9.980, w_mean_set14=9.980, w_mean_set5=9.980, w_mean_urban100=9.980
    18 | train=0.006462 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0072 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.63 | t_val=11.99 | mem=383.9 | psnr_b100=27.353, psnr_set14=27.934, psnr_set5=31.975, psnr_urban100=25.612, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.909, ssim_urban100=0.957 |  | a_actual_b100=8.952, a_actual_set14=9.123, a_actual_set5=8.970, a_actual_urban100=9.344, a_max_b100=9.778, a_max_set14=9.921, a_max_set5=9.905, a_max_urban100=9.970, a_mean_b100=10.046, a_mean_set14=10.046, a_mean_set5=10.046, a_mean_urban100=10.046, w_actual_b100=10.064, w_actual_set14=10.064, w_actual_set5=10.064, w_actual_urban100=10.064, w_max_b100=10.167, w_max_set14=10.167, w_max_set5=10.167, w_max_urban100=10.167, w_mean_b100=9.980, w_mean_set14=9.980, w_mean_set5=9.980, w_mean_urban100=9.980
    19 | train=0.007390 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00758 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.341, psnr_set14=27.961, psnr_set5=31.861, psnr_urban100=25.575, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.906, ssim_urban100=0.957 |  | a_actual_b100=8.951, a_actual_set14=9.113, a_actual_set5=8.960, a_actual_urban100=9.316, a_max_b100=9.782, a_max_set14=9.893, a_max_set5=9.911, a_max_urban100=9.977, a_mean_b100=10.050, a_mean_set14=10.050, a_mean_set5=10.050, a_mean_urban100=10.050, w_actual_b100=10.066, w_actual_set14=10.066, w_actual_set5=10.066, w_actual_urban100=10.066, w_max_b100=10.185, w_max_set14=10.185, w_max_set5=10.185, w_max_urban100=10.185, w_mean_b100=9.981, w_mean_set14=9.981, w_mean_set5=9.981, w_mean_urban100=9.981
    20 | train=0.006722 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00796 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.67 | t_val=12.03 | mem=383.9 | psnr_b100=27.332, psnr_set14=27.913, psnr_set5=31.813, psnr_urban100=25.498, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.904, ssim_urban100=0.957 |  | a_actual_b100=8.924, a_actual_set14=9.097, a_actual_set5=8.967, a_actual_urban100=9.315, a_max_b100=9.784, a_max_set14=9.923, a_max_set5=9.929, a_max_urban100=9.977, a_mean_b100=10.054, a_mean_set14=10.054, a_mean_set5=10.054, a_mean_urban100=10.054, w_actual_b100=10.072, w_actual_set14=10.072, w_actual_set5=10.072, w_actual_urban100=10.072, w_max_b100=10.190, w_max_set14=10.190, w_max_set5=10.190, w_max_urban100=10.190, w_mean_b100=9.983, w_mean_set14=9.983, w_mean_set5=9.983, w_mean_urban100=9.983
    21 | train=0.010934 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00834 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=27.010, psnr_set14=27.586, psnr_set5=31.151, psnr_urban100=25.161, ssim_b100=0.712, ssim_set14=0.845, ssim_set5=0.891, ssim_urban100=0.955 |  | a_actual_b100=8.864, a_actual_set14=9.062, a_actual_set5=8.916, a_actual_urban100=9.292, a_max_b100=9.781, a_max_set14=9.938, a_max_set5=9.920, a_max_urban100=9.983, a_mean_b100=10.058, a_mean_set14=10.058, a_mean_set5=10.058, a_mean_urban100=10.058, w_actual_b100=10.078, w_actual_set14=10.078, w_actual_set5=10.078, w_actual_urban100=10.078, w_max_b100=10.166, w_max_set14=10.166, w_max_set5=10.166, w_max_urban100=10.166, w_mean_b100=9.984, w_mean_set14=9.984, w_mean_set5=9.984, w_mean_urban100=9.984
    22 | train=0.010999 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00872 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.64 | t_val=11.99 | mem=383.9 | psnr_b100=27.261, psnr_set14=27.741, psnr_set5=31.504, psnr_urban100=25.442, ssim_b100=0.719, ssim_set14=0.847, ssim_set5=0.892, ssim_urban100=0.956 |  | a_actual_b100=8.886, a_actual_set14=9.080, a_actual_set5=8.916, a_actual_urban100=9.308, a_max_b100=9.784, a_max_set14=9.954, a_max_set5=9.950, a_max_urban100=9.995, a_mean_b100=10.062, a_mean_set14=10.062, a_mean_set5=10.062, a_mean_urban100=10.062, w_actual_b100=10.084, w_actual_set14=10.084, w_actual_set5=10.084, w_actual_urban100=10.084, w_max_b100=10.190, w_max_set14=10.190, w_max_set5=10.190, w_max_urban100=10.190, w_mean_b100=9.985, w_mean_set14=9.985, w_mean_set5=9.985, w_mean_urban100=9.985
